gene,name
B9J08_000911,B9J08_000911
B9J08_000912,YND1
B9J08_000913,B9J08_000913
B9J08_000914,EFB1
B9J08_000915,EFM5
B9J08_000916,TFC3
B9J08_000917,PXR1
B9J08_000918,PHR1_GAS1
B9J08_000919,PGA43
B9J08_000920,ERG26
B9J08_000921,NUP60
B9J08_000922,MMS22
B9J08_000923,SWC4
B9J08_000924,AFG1
B9J08_000925,ATG13
B9J08_000926,SKI3
B9J08_000927,RPC82
B9J08_000928,AQY1
B9J08_000929,ESC1
B9J08_000930,ORT1
B9J08_000931,B9J08_000931
B9J08_000932,CDC50
B9J08_000933,POP2
B9J08_000934,NOG2
B9J08_000935,YPR097W
B9J08_000936,MNN45_MNN4
B9J08_000937,IZH3
B9J08_000938,HGT10_STL1
B9J08_000939,ZCF5_UGA3
B9J08_000940,B9J08_000940
B9J08_000941,TRS23
B9J08_000942,ABP140
B9J08_000943,B9J08_000943
B9J08_000944,NNR1
B9J08_000945,SEP7_SHS1
B9J08_000946,KAP95
B9J08_000947,CWH8_CAX4
B9J08_000948,AGE3_GCS1
B9J08_000949,SPS19
B9J08_000950,PSY2
B9J08_000951,ATP12
B9J08_000952,PFD1
B9J08_000953,GON7
B9J08_000954,YLR345W
B9J08_000955,RPL26B
B9J08_000956,B9J08_000956
B9J08_000957,TIM21
B9J08_000958,PGA5_GAS2
B9J08_000959,B9J08_000959
B9J08_000960,CIN4
B9J08_000961,PSO2
B9J08_000962,YOL107W
B9J08_000963,MNN11
B9J08_000964,FKS1
B9J08_000965,YGR054W
B9J08_000966,ACK1
B9J08_000967,GLN3
B9J08_000968,YSF3
B9J08_000969,ENA2_ENA5
B9J08_000970,BIK1
B9J08_000971,NUP159
B9J08_000972,STD1_MTH1
B9J08_000973,FCF2
B9J08_000974,MIG2
B9J08_000975,FRS2
B9J08_000976,LPD1
B9J08_000977,MNN26_MNN5
B9J08_000978,ALG5
B9J08_000979,CET1
B9J08_000980,IDP2
B9J08_000981,KAR4
B9J08_000982,GEF2_GEF1
B9J08_000983,MIC10
B9J08_000984,CST20_STE20
B9J08_000985,SCD5
B9J08_000986,B9J08_000986
B9J08_000987,SLP3
B9J08_000988,UGA32_UGA3
B9J08_000989,YDL144C
B9J08_000990,BIO32_ARG8
